device: cuda | AMP: True
building validation set (20 batches x 1024) -- one-time scan of the PGN for held-out games...
  cached 20 validation batches (20480 positions)
step     100 | lr 1.01e-04 | total 9.963 | policy 7.333 (acc 0.056) | value 0.565 | aux 2.0644 | 10052 pos/s
step     200 | lr 2.01e-04 | total 6.659 | policy 4.631 (acc 0.134) | value 0.460 | aux 1.5676 | 17722 pos/s
step     300 | lr 3.01e-04 | total 5.174 | policy 3.308 (acc 0.219) | value 0.433 | aux 1.4335 | 17372 pos/s
step     400 | lr 4.01e-04 | total 4.789 | policy 2.949 (acc 0.262) | value 0.441 | aux 1.3988 | 18144 pos/s
step     500 | lr 5.01e-04 | total 4.616 | policy 2.783 (acc 0.281) | value 0.455 | aux 1.3778 | 17365 pos/s
step     600 | lr 6.01e-04 | total 4.515 | policy 2.668 (acc 0.294) | value 0.476 | aux 1.3712 | 18491 pos/s
step     700 | lr 7.01e-04 | total 4.516 | policy 2.628 (acc 0.295) | value 0.515 | aux 1.3736 | 17363 pos/s
step     800 | lr 8.01e-04 | total 4.403 | policy 2.550 (acc 0.305) | value 0.489 | aux 1.3634 | 17377 pos/s
step     900 | lr 9.01e-04 | total 4.307 | policy 2.492 (acc 0.312) | value 0.473 | aux 1.3423 | 18401 pos/s
step    1000 | lr 1.00e-03 | total 4.152 | policy 2.394 (acc 0.332) | value 0.441 | aux 1.3164 | 17367 pos/s
step    1100 | lr 1.00e-03 | total 4.137 | policy 2.375 (acc 0.333) | value 0.451 | aux 1.3114 | 18714 pos/s
step    1200 | lr 1.00e-03 | total 4.069 | policy 2.332 (acc 0.339) | value 0.440 | aux 1.2977 | 17558 pos/s
step    1300 | lr 1.00e-03 | total 4.056 | policy 2.308 (acc 0.343) | value 0.452 | aux 1.2952 | 17849 pos/s
step    1400 | lr 1.00e-03 | total 4.001 | policy 2.263 (acc 0.354) | value 0.456 | aux 1.2816 | 17723 pos/s
step    1500 | lr 1.00e-03 | total 3.976 | policy 2.237 (acc 0.360) | value 0.466 | aux 1.2735 | 18770 pos/s
step    1600 | lr 1.00e-03 | total 3.951 | policy 2.209 (acc 0.360) | value 0.475 | aux 1.2666 | 17490 pos/s
step    1700 | lr 1.00e-03 | total 3.922 | policy 2.193 (acc 0.362) | value 0.469 | aux 1.2596 | 18261 pos/s
step    1800 | lr 1.00e-03 | total 3.886 | policy 2.171 (acc 0.368) | value 0.459 | aux 1.2550 | 17394 pos/s
step    1900 | lr 1.00e-03 | total 3.871 | policy 2.151 (acc 0.373) | value 0.469 | aux 1.2505 | 18658 pos/s
step    2000 | lr 1.00e-03 | total 3.835 | policy 2.137 (acc 0.370) | value 0.453 | aux 1.2443 | 17367 pos/s
step    2100 | lr 1.00e-03 | total 3.806 | policy 2.114 (acc 0.378) | value 0.454 | aux 1.2375 | 18072 pos/s
step    2200 | lr 1.00e-03 | total 3.792 | policy 2.087 (acc 0.384) | value 0.473 | aux 1.2318 | 17488 pos/s
step    2300 | lr 1.00e-03 | total 3.773 | policy 2.073 (acc 0.387) | value 0.475 | aux 1.2246 | 18665 pos/s
step    2400 | lr 1.00e-03 | total 3.741 | policy 2.059 (acc 0.390) | value 0.461 | aux 1.2205 | 17255 pos/s
step    2500 | lr 1.00e-03 | total 3.745 | policy 2.053 (acc 0.389) | value 0.467 | aux 1.2249 | 17773 pos/s
step    2600 | lr 1.00e-03 | total 3.751 | policy 2.052 (acc 0.391) | value 0.473 | aux 1.2256 | 16847 pos/s
step    2700 | lr 1.00e-03 | total 3.760 | policy 2.049 (acc 0.392) | value 0.486 | aux 1.2255 | 18573 pos/s
step    2800 | lr 1.00e-03 | total 3.736 | policy 2.032 (acc 0.394) | value 0.484 | aux 1.2204 | 16796 pos/s
step    2900 | lr 1.00e-03 | total 3.747 | policy 2.034 (acc 0.392) | value 0.490 | aux 1.2225 | 17787 pos/s
step    3000 | lr 1.00e-03 | total 3.719 | policy 2.020 (acc 0.395) | value 0.476 | aux 1.2226 | 17091 pos/s
step    3100 | lr 1.00e-03 | total 3.728 | policy 2.004 (acc 0.396) | value 0.501 | aux 1.2234 | 17816 pos/s
step    3200 | lr 1.00e-03 | total 3.722 | policy 2.007 (acc 0.394) | value 0.495 | aux 1.2200 | 17277 pos/s
step    3300 | lr 1.00e-03 | total 3.719 | policy 1.995 (acc 0.396) | value 0.508 | aux 1.2162 | 17727 pos/s
step    3400 | lr 1.00e-03 | total 3.709 | policy 1.982 (acc 0.401) | value 0.518 | aux 1.2098 | 17121 pos/s
step    3500 | lr 1.00e-03 | total 3.668 | policy 1.969 (acc 0.402) | value 0.497 | aux 1.2029 | 17691 pos/s
step    3600 | lr 1.00e-03 | total 3.633 | policy 1.958 (acc 0.406) | value 0.477 | aux 1.1983 | 16776 pos/s
step    3700 | lr 1.00e-03 | total 3.628 | policy 1.957 (acc 0.405) | value 0.479 | aux 1.1917 | 17399 pos/s
step    3800 | lr 1.00e-03 | total 3.641 | policy 1.957 (acc 0.404) | value 0.495 | aux 1.1892 | 17327 pos/s
step    3900 | lr 9.99e-04 | total 3.636 | policy 1.946 (acc 0.406) | value 0.506 | aux 1.1835 | 17664 pos/s
step    4000 | lr 9.99e-04 | total 3.621 | policy 1.937 (acc 0.408) | value 0.505 | aux 1.1801 | 17505 pos/s
step    4100 | lr 9.99e-04 | total 3.644 | policy 1.949 (acc 0.405) | value 0.512 | aux 1.1820 | 17820 pos/s
step    4200 | lr 9.99e-04 | total 3.634 | policy 1.941 (acc 0.406) | value 0.512 | aux 1.1808 | 17023 pos/s
step    4300 | lr 9.99e-04 | total 3.633 | policy 1.932 (acc 0.408) | value 0.521 | aux 1.1798 | 17731 pos/s
